2022-01-01|11:30|Pay Check|SpaceX|800.0
2022-02-16|11:25|Taxes|America|1200.0
2022-09-16|11:09|BA pay|Army|500.0
2023-09-16|11:07|YearUp|YearUp|100.0
2023-10-16|09:28|Stipend|YearUp|50.0
2024-01-01|11:30|Pay Check|SpaceX|10000.0
2024-02-16|11:25|Taxes|America|4000.0
2024-09-16|11:09|BA pay|Army|500.0
2024-09-16|11:07|YearUp|YearUp|100.0
2024-10-16|09:28|Stipend|YearUp|50.0
2024-10-16|09:28|Internship Stipend|YearUp|525.0
2024-10-16|10:17|EV's|Eddie V's|150.0
2024-10-17|09:02|Housing Allowance|Army|2000.0
2024-10-17|09:02|Phone-Bill|T-Mobile|-100.0
2024-10-17|09:02|Car Insurance|Geico|-100.0
2024-10-17|09:16|Refund|Target|600.0
2024-10-17|09:16|Target|Target|-400.0
2024-10-17|11:52|Paycheck|YearUp|50.0
2024-10-17|12:54|Paycheck|YearUP|200.0
2024-10-17|12:54|New clothes|Target|-100.0
2024-10-17|01:52|Stipend|YearUp|50.0
2024-10-17|01:52|gas|QT|-50.0
2024-10-21|08:15|Paycheck|Bank of America|2000.0
